frame_idx,x,y
1529,853,738
1530,846,706
1531,853,707
1532,689,636
1533,646,553
1534,650,574
1535,391,595
1536,380,620
1537,383,633
1538,384,640
1539,385,645
1540,474,651
1541,803,762
1542,796,747
1543,672,767
1544,823,753
1545,821,747
1546,846,744
1547,844,742
1548,843,743
1549,841,742
1550,858,580
1551,816,378
1552,789,367
1553,775,343
1554,781,322
1555,775,314
1556,775,311
1557,775,309
1558,781,310
1559,784,310
1560,793,310
